term_en,description_english,description_arabic,term_arabic
EQUITY,A system of law that supplements the statutory and case law and is based on principles of what is “fair and right.”,"الأنصاف - هناك نظام قضائي يكمل القانون النظامي والقانون القضائي ويقوم على ما هو ""عادل وصحيح"".",الأنصاف
ERROR CORAM NOBIS,Petition filed in trial court seeking relief from conviction based on new facts.,"""هنا خطأ"" - التماس في أول جلسة تقاض أن المتهم أصبح لديه الى محكمة الابتدائي معتمدا على أدلة أولى عند إثبات","""هنا خطأ"""
ERROR CORAM VOBIS,Petition filed in appellate court seeking relief from conviction based on new facts.,"""هنا خطأ"" - أدله لارأتالته أصبحت تأذيه المتهم على أولى إذا فني تحت على حقه على مستوى محكمة.","""هنا خطأ"""
ESCAPE BY FORCE OR VIOLENCE,Using force to escape from custody.,خلاص بالقوة أو العنف - استخدام العنف أو القوة من أجل التحرر من تحفظ سلطات النظام.,خلاص بالقوة أو العنف
ESCHEAT (ES-CHET),The process by which a deceased person’s property goes to the state if there is no will or no heirs.,إسقاط الأمركات الراكدة - الره بأن حائن المتوفي يعهد الى العرف إذا لم يترك وصية ولم يكن لديه ورث.,إسقاط الأملاك الراكدة
ESCROW,"Money or a written instrument such as a deed that, by agreement between two parties, is held by a neutral third party (held in escrow) until all conditions of the agreement are met.",عهد بالتحفظ – تعطين بكلك عقد قانوني بفي الأطراف يحتجزه طرف ثالث حيادي عن الأطراف  المتنازدين.,عهد بالتحفظ
EXECUTOR,Person or company named in a will to carry out the testator's instructions and requests. The executor is usually supervised by the probate court.,شخص - أو شركة يُعيّن من قبل صاحب الوصية لتنفيذ الطلبات والتعليمات الواردة في الوصية. عادة ما يخضع المنفذ لإشراف محكمة الأوصياء على التنفيذ.,المنفذ
EX DELICTO,"Arising from a wrong, breach of duty. (See TORT.)",ناشئ عن خطأ أو إخلال بالواجب. (انظر: ضرر).,خطأ تقصيري
EXEMPLARY DAMAGES,"Monies awarded to the plaintiff that exceed the normal or expected amount. Serve as punishment for willful or malicious acts by the defendant, rather than act of negligence.",أضرار مثالية. عبارة عن مبلغ يحكم به للمدعي ويزيد عن المبلغ العادي أو المتوقع، وذلك ليمثل عقاباً للمدعى عليه لأن أفعاله كانت عمدية أو رديئة وليس مجرد خطأ عرضي.,الأضرار التأديبية
EXEMPLIFICATION,"An extremely formal type of certification in which the Clerk signs the certification of the document or record. The Presiding Judge then signs attesting to the fact of the identity of the Clerk, and that the signature is authentic. The Judge is a Judge of that county's General Jurisdiction Court, and that the signature is authentic.",تصديق بصيغة خاصة من التصديقات الشديدة الرسمية يقوم فيها سجل المحكمة بالتوقيع على التصديق الخاص بالمستند أو السجل، ثم يوقع القاضي الرئيس على التصديق مؤكداً هوية سجل المحكمة وصحة توقيعه. ويكون القاضي من قضاة محكمة الاختصاص العام في الدائرة القضائية التي صدر فيها التصديق وتكون توقيعاته صحيحة.,التصديق المُثبَت
EXHIBIT,A document or an object shown and identified in court as evidence in a case.,وثيقة أو مادة يتم تقديمها وتعريفها في المحكمة كدليل خلال نظر القضية.,مستند / دليل
"EXHIBIT, PEOPLE'S",Exhibit and/or evidence that is offered by the prosecution.,سند أو دليل – مستندات أو أدلة يقدمها الادعاء.,دليل الادعاء
EXONERATE,To clear of blame or to relieve from responsibility.,براءة - برء من اللوم أو تحمل المسؤولية.,تبرئة
EX PARTE,A court procedure with only one side. For emergencies only.,عن طرف واحد. إجراء قضائي يكون من جانب واحد. في الحالات الطارئة فقط.,الإجراء من جانب واحد
EX PARTE PROCEEDING,The legal procedure in which only one side is represented.,إجراءات قضائية من جانب واحد. عمل قانوني يمثل فيه طرف واحد فقط.,الإجراءات من جانب واحد
EXPERT TESTIMONY,"Testimony given in relation to some scientific, technical, or professional matter by experts, i.e., person qualified to speak authoritatively by reason of their special training, skill, or familiarity with the subject.",شهادة خبير – شهادة تعطى عن موضوع علمي أو فني أو مهني من خبير، وهو شخص يحق له الكلام بثقة في تلك المواضيع بناءً على معرفته الخاصة، أو مهارته، أو طبيعة تدريبه الخاص.,شهادة الخبير
EXPLOSIVE/DESTRUCTIVE DEVICE,"Any substance or combination of substances, the primary or common purpose of which is detonation or rapid combustion, and which is capable of a relatively instantaneous or rapid release of gas and heat, or any substance, the primary purpose of which, when combined with others, is to form a substance capable of a relatively instantaneous or rapid release of gas and heat.",جهاز تفجيري/مدمر - أي مادة أو خليط من المواد، الغرض الرئيسي أو المشترك له هو التفجير أو الاحتراق السريع، والذي يكون قادراً على تحرير فوري نسبياً أو سريع للغاز والحرارة، أو أي مادة، الغرض الأساسي لها، عند دمجها مع مواد أخرى، هو تكوين مادة قادرة على إطلاق فوري نسبي أو سريع للغاز والحرارة.,جهاز تفجيري / مدمر
VOLUNTARY MANSLAUGHTER,"Committed voluntarily and with head knowledge of the consequences; for example, during a sudden quarrel, two persons fight, and one of them kills the other.",القتل الآخراي العمد,
المرتكب - يعني القتل الذي يرتكب بإرادة منفردة وبعلم بعواقبه؛ على سبيل المثال، خلال شجار مفاجئ، يتقاتل شخصان،ويقتل أحدهما الآخر.,القتل الآخراي العمد,,
VOLUNTARY UNDERTAKINGS,An act unconstrained by interference; spontaneous; or of oneself.,الشجي العرفي - يعني العمل الذي يقع على نحو بغير تدخل وبعفوية، من ذات نفسه.,العمل الطوعي
